openEuler Repo,Project Name,Required Version,Repo version,Status
python-setproctitle,setproctitle,1.2.2,1.2.1,Need Upgrade
python-flake8-docstrings,flake8-docstrings,0.2.1.post1,,Need Init
python-sqlalchemy-migrate,sqlalchemy-migrate,0.13.0,0.13.0,OK
python-os-brick,os-brick,4.3.1,4.0.1,Need Upgrade
python-XStatic-term.js,XStatic-term.js,0.0.7.0,0.0.7.0,OK
python-warlock,warlock,1.3.3,1.3.3,OK
python-oslo.sphinx,oslosphinx,4.18.0,1.1,Need Upgrade
python-bashate,bashate,2.0.0,2.0.0,OK
openstack-trove,trove,15.0.0,,Need Init
,python-zaqarclient,2.1.0,,
python-sphinxcontrib-pecanwsme,sphinxcontrib-pecanwsme,0.10.0,0.10.0,OK
python-yappi,yappi,1.0,1.3.2,Need Downgrade
python-boto,boto,2.49.0,2.49.0,OK
,ibm-db-sa-py3,0.3.1.post1,,
python-openvswitch,ovs,2.13.0,2.13.3,Need Downgrade
python-sortedcontainers,sortedcontainers,2.4.0,2.1.0,Need Upgrade
