openEuler Repo,Project Name,Required Version,Repo version,Status
python-eventlet,eventlet,0.31.0,0.30.0,Need Upgrade
python-dns,dnspython,1.16.0,1.16.0,OK
python-greenlet,greenlet,1.1.0,0.4.15,Need Upgrade
python-XStatic-Spin,XStatic-Spin,1.2.5.3,1.2.5.3,OK
python-zstd,zstd,1.4.8.1,1.4.8.1,OK
python-isort,isort,5.9.1,4.3.4,Need Upgrade
python-pep8,pep8,1.5.7,,Need Init
,nosexcover,1.0.11,,
python-coverage,coverage,5.5,5.4,Need Upgrade
python-nose,nose,1.3.7,1.3.7,OK
python-pycadf,pycadf,3.1.1,3.1.1,OK
python-XStatic-Angular-Bootstrap,XStatic-Angular-Bootstrap,2.5.0.0,2.5.0.0,OK
openstack-swift,swift,2.27.0,,Need Init
python-pymemcache,pymemcache,3.4.1,,Need Init
,pyxcli,1.1.5,,
,bunch,1.0.1,,
python-ironicclient,python-ironicclient,4.6.1,4.4.0,Need Upgrade
python-alembic,alembic,1.5.7,1.4.2,Need Upgrade
python-editor,python-editor,1.0.4,1.0.4,OK
python-sqlalchemy,sqlalchemy,1.4.20,1.3.22,Need Upgrade
,nosehtmloutput,0.0.7,,
python-sushy,sushy,3.9.1,3.4.1,Need Upgrade
,python-saharaclient,3.3.0,,
,confluent-kafka,1.6.0,,
python-botocore,botocore,1.20.102,1.19.17,Need Upgrade
python-wsgi-intercept,wsgi-intercept,1.9.2,1.9.2,OK
python-pysaml2,pysaml2,6.5.1,6.1.0,Need Upgrade
python-defusedxml,defusedxml,0.7.1,0.6.0,Need Upgrade
python-importlib-resources,importlib-resources,5.2.0,3.3.0,Need Upgrade
,xmlschema,1.6.4,,
,elementpath,2.2.3,,
python-paste-deploy,pastedeploy,2.1.1,2.1.0,Need Upgrade
python-sqlparse,sqlparse,0.4.1,0.3.1,Need Upgrade
,PyECLib,1.3.1,,
python-oslo.vmware,oslo.vmware,3.8.0,3.7.0,Need Upgrade
python-prometheus_client,prometheus-client,0.9.0,,Need Init
python-XStatic-Angular-lrdragndrop,XStatic-Angular-lrdragndrop,1.0.2.4,1.0.2.4,OK
,storops,1.2.8,,
python-bitmath,bitmath,1.3.3.1,,Need Init
python-cachez,cachez,0.1.2,,Need Init
python-persist-queue,persist-queue,0.6.0,,Need Init
python-retryz,retryz,0.1.9,,Need Init
python-flake8,flake8,3.9.2,3.8.4,Need Upgrade
python-mccabe,mccabe,0.6.1,0.6.1,OK
python-pycodestyle,pycodestyle,2.7.0,2.6.0,Need Upgrade
pyflakes,pyflakes,2.3.1,2.2.0,Need Upgrade
,python-xclarityclient,0.1.6,,
,python-zunclient,4.2.0,,
python-flask,flask,2.0.1,1.1.2,Need Upgrade
python-click,click,8.0.1,7.0,Need Upgrade
python-itsdangerous,itsdangerous,2.0.1,1.1.0,Need Upgrade
openstack-tempest,tempest,27.0.0,25.0.1,Need Upgrade
python-oslo.upgradecheck,oslo.upgradecheck,1.3.0,1.3.0,OK
networking-generic-switch,networking-generic-switch,5.0.0,ictoria,Need Upgrade
python-oslo.rootwrap,oslo.rootwrap,6.2.0,6.2.0,OK
python-lxml,lxml,4.6.3,4.6.2,Need Upgrade
python-oslo.cache,oslo.cache,2.7.0,2.6.1,Need Upgrade
python-XStatic-objectpath,XStatic-objectpath,1.2.1.0,1.2.1.0,OK
python-wheel,wheel,0.32.0,0.36.2,Need Downgrade
python-os-vif,os-vif,2.4.0,2.3.0,Need Upgrade
